JAXAAY / PARCELLES ASSAINIES,40,19,1
JOAL FADIOUTH,0,30,13
KAB GAYE,71,23,8
KAEL,41,29,2
KAFFRINE,0,16,4
KAFOUNTINE,43,3,14
KAHI,37,16,4
KAHONE,0,18,5
KAHÈNE,5,21,12
KAMB,126,25,8
KANDIA,107,45,6
KANDIAYE,107,45,6
KANDION MANGANA,10,5,11
KANEL,0,17,9
KANÈNE NDIOB,100,23,8
KAOLACK,0,18,5
KAOUR,28,13,11
KARANG POSTE,121,10,3
KARANTABA,42,13,11
KARTIACK,114,3,14
KATABA 1,43,3,14
KATHIOTTE,44,16,4
KAYAR,47,43,13
KAYEMOR,67,32,5
KEUR BAKA,50,18,5
KEUR MABA DIAKHOU,123,32,5
KEUR MADIABEL,123,32,5
KEUR MANDONGO,123,32,5
KEUR MASSAR NORD,59,19,1
KEUR MASSAR SUD,40,19,1
KEUR MBOUCKI,45,4,4
KEUR MOMAR SARR,46,26,8
KEUR MOUSSA,47,43,13
KEUR NGALGOU,73,8,2
KEUR SALOUM DIANÉ,121,10,3
KEUR SAMBA GUEYE,121,10,3
KEUR SAMBA KANE,3,2,2
KEUR SOCÉ,75,18,5
KHELCOM BIRANE,61,14,5
KHELCOM,20,27,4
KHOMBOLE,0,43,13
KHOSSANTO,98,40,7
KIDIRA,13,1,12
KOAR,4,12,12
KOKI,48,26,8
KOLDA,0,20,6
KOLIBANTANG,42,13,11
KOMOTI,23,12,12
KOTHIARY,49,12,12
KOUL,69,44,13
KOULINTO,76,31,6
KOULOR,49,12,12
KOUMPENTOUM,0,21,12
KOUNGHEUL,0,22,4
KOUNKANÉ,107,45,6
KOUSSAN,12,12,12
KOUSSANAR,51,42,12
KOUSSY,25,41,11
KOUTHIA GAYDI,52,21,12
KOUTHIABA OUOLOF,52,21,12
KÉBÉMER,0,23,8
KÉDOUGOU,0,24,7
KÉLE GUEYE,63,26,8
KÉRÉWANE,84,31,6
KÉVOYE,18,39,7
LABGAR,31,25,8
LAMBAYE,54,2,2
LATMINGUÉ,50,18,5
LINGUÈRE,0,25,8
LINKÉRING,11,45,6
LORO,100,23,8
LOUGA,0,26,8
LOUGRÉ THIOLY,122,36,9
LOUL SESSÈNE,33,9,3
LOUR ESCALE,56,22,4
LÉONA,102,26,8
MABO,57,4,4
MADINA BAFFÉ,8,40,7
MADINA FOULBÉ,53,1,12
MADINA WANDIFA,24,5,11
MADINA,41,29,2
MAKA YOP,64,22,4
MAKACOLIBANTANG,58,42,12
MALEM HODAR,0,27,4
MALEM NIANI,52,21,12
MALICOUNDA,109,30,13
MALIKA,59,19,1
MAMPATIM,60,20,6
MANGAGOULACK,114,3,14
MANGAROUNGOU SANTO,28,13,11
MARSASSOUM,0,41,11
MATAM,0,28,9
MBACKÉ KADIOR,21,23,8
MBACKÉ,0,29,2
MBADAKHOUNE,61,14,5
MBADIANE,21,23,8
MBAM,29,10,3
MBANE,62,6,10
MBAO,116,34,1
MBAR,16,11,3
MBAYÈNE,83,44,13
MBELLACADIAO,74,9,3
MBEULEUKHÉ,126,25,8
MBEULEUP,57,4,4
MBOLO BIRANE,103,35,10
MBORO,68,44,13
MBOSS,80,14,5
MBOULA,126,25,8
MBOUMBA,15,35,10
MBOUR,0,30,13
MBÉDIENE,63,26,8
MERMOZ / SACRÉ-CŒUR,2,7,1
MISSIRAH SIRIMANA,98,40,7
MISSIRAH WADÈNE,64,22,4
MISSIRAH,65,42,12
MISSIRAH,70,29,2
MLOMP,114,3,14
MLOMP,55,33,14
MONT ROLLAND,92,44,13
MOUDÉRY,66,1,12
MPAL,96,38,10
MÉDINA CHÉRIF,60,20,6
MÉDINA EL HADJ,26,20,6
MÉDINA GOUNASS,11,45,6
MÉDINA GOUNASS,124,15,1
MÉDINA NDIATHBÉ,15,35,10
MÉDINA SABAKH,67,32,5
MÉDINA YORO FOULAH,0,31,6
MÉDINA,17,7,1
MÉDINATOUL SALAM 2,44,16,4
MÉKHÉ,0,44,13
MÉOUANE,68,44,13
MÉRINA DAKHAR,69,44,13
MÉRY,15,35,10
MÉRÉTO,5,21,12
NABADJI CIVOL,88,28,9
NDAME,5,21,12
NDANDE,71,23,8
NDANKH SÈNE,73,8,2
NDENDORY,125,17,9
NDIAFFATE,75,18,5
NDIAGANIAO,34,30,13
NDIAGNE,48,26,8
NDIAGO,61,14,5
NDIAMACOUTA,9,5,11
NDIAMALATHIEL,9,5,11
NDIARÈME LIMAMOULAYE,124,15,1
NDIAYÈNE PEINDAO,117,35,10
NDINDY,73,8,2
NDIOB,74,9,3
NDIOBÈNE SAMBA LAMO,20,27,4
NDIOGNICK,57,4,4
NDIOUM NGAINTH,20,27,4
NDIOUM,0,35,10
NDIOUMANE,41,29,2
NDIÉBEL,78,18,5
NDIÉBÈNE GANDIOL,96,38,10
NDIÉDIENG,75,18,5
NDIÉNÉ LAGANE,90,11,3
NDIÉYÈNE SIRAKH,120,43,13
NDOFFANE,50,18,5
NDOGA BABACAR,58,42,12
NDOMBO SANDJIRY,62,6,10
NDONDOL,79,2,2
NDORNA,76,31,6
NDOULO,8,8,2
NDOYÈNE,21,23,8
NDRAME ESCALE,123,32,5
NEMATABA,107,45,6
NGANDA,44,16,4
NGANDIOUF,83,44,13
NGAPAROU,109,30,13
NGATHIE NAOUDÉ,61,14,5
NGAYOKHÈME,82,9,3
NGAYÈNE,67,32,5
NGHAYE,70,29,2
NGOGOM,54,2,2
NGOHÉ,8,8,2
NGOR,2,7,1
NGOUDIANE,120,43,13
NGOURANE OUOLOF,100,23,8
NGOYE,79,2,2
NGUER MALAL,46,26,8
NGUEUNE SARR,102,26,8
NGUIDILÉ,63,26,8
NGUIDJILONE,1,28,9
NGUÉKHOKH,109,30,13
NGUÉLOU,80,14,5
NGUÉNIÈNE,111,30,13
NIAGHA,108,13,11
NIAGUIS,81,46,14
NIAKHAR,82,9,3
NIAKHÈNE,83,44,13
NIAMING,84,31,6
NIAMONE,115,3,14
NIANDANE,117,35,10
NIANI TOUCOULEUR,58,42,12
NIASSÈNE,29,10,3
NINÉFÉCHA,6,24,7
NIOMRÉ,63,26,8
NIORO ALASSANE TALL,121,10,3
NIORO,0,32,5
NOTTO GOUYE DIAMA,92,44,13
NOTTO,86,43,13
NYASSIA,87,46,14
NÉTTÉBOULOU,65,42,12
ODOBÉRÉ,125,17,9
OGO,88,28,9
